ibm_serial,country_code,week_ending_date,work_item,sat,sun,mon,tue,wed,thu,fri
45329E,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,6.0,6.0,6.0,6.0,6.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143C29,897,2022-09-30,D78E9909,0.0,0.0,2.0,2.0,2.0,2.0,2.0
73BEFA,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5EE7CA,897,2022-09-30,0A8DA31D,0.0,0.0,8.0,8.0,8.0,8.0,8.0
381022,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
135969,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B18EEF,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B18EEF,897,2022-09-30,D78E9909,0.0,0.0,1.0,1.0,1.0,1.0,1.0
C5E5F8,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
F1EE31,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
A38793,897,2022-09-30,E73E4029,8.0,0.0,0.0,0.0,0.0,0.0,0.0
A38793,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
214B0A,897,2022-09-30,D78E9909,4.0,0.0,0.0,4.0,4.0,4.0,4.0
214B0A,897,2022-09-30,D78E9909,4.0,0.0,0.0,4.0,4.0,4.0,4.0
3BEBCB,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
44AFDA,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
84F1A8,897,2022-09-30,E73E4029,0.0,0.0,7.0,7.0,7.0,7.0,7.0
84F1A8,897,2022-09-30,E73E4029,0.0,0.0,1.0,1.0,1.0,1.0,1.0
F14174,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
736607,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
18884E,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
18884E,897,2022-09-30,097DF722,0.0,0.0,1.0,0.0,0.0,2.0,0.0
5E425F,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
01BF91,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B771C8,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5D8439,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4F236B,897,2022-09-30,D119D59B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58072C,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3AF593,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
26F3FB,897,2022-09-30,E7D54290,0.0,0.0,0.0,0.0,4.0,8.0,8.0
B9359B,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3D680C,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,0.0
13964D,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
7CE700,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
FDC695,897,2022-09-30,3B776BE5,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D7051F,897,2022-09-30,3B776BE5,12.0,0.0,8.0,8.0,8.0,8.0,8.0
92CBA0,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5809F1,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
545716,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
982590,897,2022-09-30,E7D54290,0.0,8.0,0.0,0.0,0.0,0.0,0.0
982590,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,4.0,4.0,4.0,4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,0.0,0.0,0.0,0.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,4.0,4.0,4.0,4.0,4.0
711744,897,2022-09-30,407FF3F1,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
4C434F,897,2022-09-30,407FF3F1,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C59F9D,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
2A83E7,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D36854,897,2022-09-30,E7D54290,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1D99C7,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
6ED9F2,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BA3689,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
9F886A,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
EDA0BB,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
261B60,897,2022-09-30,E73E4029,0.0,0.0,4.0,4.0,4.0,4.0,4.0
261B60,897,2022-09-30,E73E4029,0.0,0.0,4.0,4.0,4.0,4.0,4.0
45C5E3,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
6EE948,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
146344,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C73DC9,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
715496,897,2022-09-30,E73E4029,0.0,8.0,8.0,6.0,6.0,6.0,6.0
6C6130,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C2AC99,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
FEA6C8,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
9C37BF,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5B5FA4,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
361370,897,2022-09-30,D78E9909,8.0,0.0,0.0,8.0,8.0,8.0,8.0
02DA62,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
311C4E,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BF207B,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
BF207B,897,2022-09-30,D78E9909,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BB9E32,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D79C65,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D8E72F,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
D8E72F,897,2022-09-30,D78E9909,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1F89AC,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
088803,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
A88263,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
5AA198,897,2022-09-30,D78E9909,0.0,0.0,8.0,8.0,8.0,8.0,8.0
33BB2B,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
33BB2B,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33BB2B,631,2022-09-30,71F4F4E0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
B51518,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
B51518,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
B51518,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
2B1078,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
2B1078,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
52934F,631,2022-09-30,0D39C294,0.0,0.0,0.0,0.0,8.0,8.0,8.0
52934F,631,2022-09-30,072252C8,0.0,0.0,8.0,8.0,0.0,0.0,0.0
7BEC6F,631,2022-09-30,A7643B69,0.0,0.0,8.0,8.0,8.0,8.0,8.0
AA029C,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
AA029C,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
87F164,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
87F164,631,2022-09-30,71F4F4E0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
87F164,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
734C3F,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
734C3F,631,2022-09-30,71F4F4E0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
29FDC0,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
29FDC0,631,2022-09-30,71F4F4E0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
29FDC0,631,2022-09-30,072252C8,0.0,0.0,0.0,0.0,8.0,0.0,0.0
F92AD2,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,5.0,8.0
F92AD2,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
733137,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
E71886,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1C3F2D,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C2A876,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3C66B5,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
092060,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
E275C4,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
10968B,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
10968B,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4E8B3E,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4E8B3E,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
4E8B3E,631,2022-09-30,71F4F4E0,14.0,0.0,0.0,0.0,0.0,4.0,4.0
B92C9D,897,2022-09-30,E73E4029,0.0,0.0,8.0,8.0,8.0,8.0,8.0
352FD2,897,2022-09-30,097DF722,0.0,0.0,8.0,8.0,8.0,8.0,8.0
352FD2,897,2022-09-30,097DF722,6.0,2.0,0.0,2.0,2.0,0.0,0.0
352FD2,897,2022-09-30,35A50FF4,0.0,0.0,2.0,0.0,1.0,0.0,0.0
37A651,897,2022-09-30,D78E9909,0.0,0.0,0.0,8.0,8.0,8.0,8.0
37A651,897,2022-09-30,9B7AFD56,0.0,0.0,8.0,0.0,0.0,0.0,0.0
704D6F,897,2022-09-30,407FF3F1,0.0,0.0,9.0,9.0,9.0,9.0,9.0
60B629,897,2022-09-30,9B7AFD56,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4819D1,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
35E00F,781,2022-09-30,8F694F36,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B2B600,631,2022-09-30,9B7AFD56,0.0,0.0,9.0,9.0,9.0,9.0,8.0
B2B600,631,2022-09-30,9B7AFD56,0.0,0.0,8.8,8.8,8.8,8.8,8.8
B2B600,631,2022-09-30,9B7AFD56,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-8.0
628F73,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,9.0,9.0,8.0,8.0
628F73,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
628F73,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
628F73,631,2022-09-30,9B7AFD56,0.0,0.0,8.8,0.0,0.0,0.0,0.0
3F5192,781,2022-09-30,784984F6,0.0,0.0,9.0,9.2,8.8,9.0,8.0
3F5192,781,2022-09-30,784984F6,0.0,0.0,-9.0,-8.0,-9.0,-9.0,-9.0
3F5192,781,2022-09-30,784984F6,0.0,0.0,9.0,8.0,9.0,9.0,9.0
3F5192,781,2022-09-30,8F694F36,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C3C659,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,2.5,7.0,0.0,0.0
C3C659,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B70EB5,631,2022-09-30,A7643B69,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B70EB5,631,2022-09-30,A7643B69,0.0,0.0,8.0,8.0,8.3,8.0,8.3
B70EB5,631,2022-09-30,A7643B69,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
B70EB5,631,2022-09-30,D9AE20D0,0.0,0.0,9.0,9.0,9.0,9.0,9.0
B417E9,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,9.0,8.0
800D75,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,9.0,8.0
800D75,631,2022-09-30,71F4F4E0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
800D75,631,2022-09-30,71F4F4E0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
800D75,631,2022-09-30,71F4F4E0,9.0,0.0,0.0,0.0,0.5,0.0,1.0
800D75,631,2022-09-30,71F4F4E0,-9.0,0.0,0.0,0.0,0.0,0.0,-1.0
800D75,631,2022-09-30,71F4F4E0,8.0,0.0,0.0,0.0,0.5,0.0,1.0
800D75,631,2022-09-30,71F4F4E0,-9.0,0.0,0.0,0.0,-0.5,0.0,-1.0
108B0D,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
108B0D,631,2022-09-30,71F4F4E0,0.0,0.0,7.0,7.0,7.0,8.5,8.5
108B0D,631,2022-09-30,71F4F4E0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
108B0D,631,2022-09-30,71F4F4E0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33D0B8,631,2022-09-30,FF37BB7F,0.0,0.0,1.0,1.0,1.0,1.0,0.0
33D0B8,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
E36A80,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,8.0,9.0
E36A80,631,2022-09-30,71F4F4E0,8.0,8.0,1.0,1.0,1.0,0.0,1.0
ECDD44,631,2022-09-30,64EF59C9,0.0,0.0,8.4,8.0,8.2,8.0,8.0
ECDD44,631,2022-09-30,64EF59C9,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
ECDD44,631,2022-09-30,64EF59C9,0.0,0.0,8.0,8.0,8.0,8.0,8.0
7978FD,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,9.0,8.0
4E3548,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
4E3548,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,5.0,4.0,4.0
4E3548,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D602CB,631,2022-09-30,E4588499,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4B10BE,631,2022-09-30,0D39C294,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B1F75B,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
06B8C4,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
06B8C4,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,9.0,9.0,8.0,8.0
06B8C4,631,2022-09-30,71F4F4E0,7.5,7.5,0.0,0.0,0.0,0.0,0.0
EE01B6,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.5,4.0,0.0,0.0
EE01B6,631,2022-09-30,9B7AFD56,0.0,0.0,0.0,0.0,4.0,8.0,8.0
EE01B6,631,2022-09-30,71F4F4E0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
EE01B6,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
EE01B6,631,2022-09-30,71F4F4E0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
D725A4,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C5B266,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
DA3934,631,2022-09-30,71F4F4E0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
DA3934,631,2022-09-30,71F4F4E0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
98AA24,631,2022-09-30,71F4F4E0,3.0,0.0,4.0,4.0,4.0,4.0,4.0
98AA24,631,2022-09-30,71F4F4E0,3.0,0.0,4.0,4.0,5.0,4.0,4.0
98AA24,631,2022-09-30,71F4F4E0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
98AA24,631,2022-09-30,71F4F4E0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
A36DEE,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,9.0,8.0
A36DEE,631,2022-09-30,71F4F4E0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
A36DEE,631,2022-09-30,71F4F4E0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE38A,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,8.0,8.0,8.0,8.0
B1570B,631,2022-09-30,71F4F4E0,6.0,0.0,8.0,8.0,9.0,8.0,8.0
B1570B,631,2022-09-30,71F4F4E0,-6.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
B1570B,631,2022-09-30,71F4F4E0,0.0,6.0,0.0,0.0,0.0,6.0,0.0
B1570B,631,2022-09-30,71F4F4E0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
B1570B,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B1570B,631,2022-09-30,71F4F4E0,6.0,6.0,8.0,8.0,8.0,8.0,8.0
B1570B,631,2022-09-30,71F4F4E0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
B1570B,631,2022-09-30,71F4F4E0,6.0,0.0,8.0,8.0,8.0,8.0,8.0
B1570B,631,2022-09-30,71F4F4E0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
B1570B,631,2022-09-30,71F4F4E0,-6.0,-6.0,-8.0,-8.0,-8.0,-8.0,-8.0
0A3D02,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
2CF3D5,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
2CF3D5,631,2022-09-30,71F4F4E0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
2CF3D5,631,2022-09-30,71F4F4E0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
2CF3D5,631,2022-09-30,71F4F4E0,0.0,0.0,6.0,6.0,6.0,6.0,6.0
2CF3D5,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
48E5C5,631,2022-09-30,71F4F4E0,0.0,0.0,8.5,8.5,8.5,8.5,8.5
711774,631,2022-09-30,71F4F4E0,6.0,0.0,8.0,8.0,8.0,8.0,8.0
711774,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
711774,631,2022-09-30,71F4F4E0,-6.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
26D13B,631,2022-09-30,71F4F4E0,0.0,0.0,4.0,4.0,0.0,4.0,4.0
26D13B,631,2022-09-30,71F4F4E0,0.0,0.0,5.0,5.0,0.0,5.0,5.0
26D13B,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
26D13B,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0AA7A9,631,2022-09-30,E4588499,0.0,8.0,8.0,8.0,8.0,8.0,8.0
9050B7,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.5,6.5,8.0,6.0
9050B7,631,2022-09-30,9B7AFD56,0.0,0.0,0.0,0.0,1.5,0.0,2.0
9050B7,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.5,6.5,8.0,8.5
9050B7,631,2022-09-30,9B7AFD56,0.0,0.0,0.0,0.0,1.5,0.0,0.0
9050B7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.0,-9.5,-6.5,-8.0,-6.0
9050B7,631,2022-09-30,9B7AFD56,0.0,0.0,0.0,0.0,-1.5,0.0,-2.0
2724E4,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,9.0,8.0
2DD443,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
2DD443,631,2022-09-30,71F4F4E0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7323DF,631,2022-09-30,71F4F4E0,0.0,0.0,10.5,8.0,8.0,8.0,8.0
7323DF,631,2022-09-30,71F4F4E0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
7323DF,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
974E67,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,10.0,10.0,9.0,9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,9.0,10.0,9.0,9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.5,-10.0,-10.0,-9.0,-9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,9.0,9.5,9.0,9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.5,-9.0,-10.0,-9.0,-9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,9.0,10.0,10.0,10.0
